cod_mun;UF;Município;pop2019;pib2017milreais;export_fob_2019;import_fob_2019;pip_per_capita17;hierarquia_urbana07;hierarquia;voos_dom;voos_int;indice_proximidade;indice_intermediacao
4315701;RS;Rio Pardo ;38275;872294;0;0;2237;Centro Local;1;0;0;0,30666516;0,00001031
4315750;RS;Riozinho ;4653;112681;550758;1624090;2446;Centro Local;1;0;0;0,30250600;0,00000002
4315800;RS;Roca Sales ;11393;436850;8728184;1507770;3935;Centro Local;1;0;0;0,30355643;0,00000624
4315909;RS;Rodeio Bonito ;5867;185704;0;0;3112;Centro de Zona B;2;0;0;0,30921953;0,00001351
4315958;RS;Rolador ;2323;82796;0;0;3292;Centro Local;1;0;0;0,28745691;0,00000000
4316006;RS;Rolante ;21349;566895;18771915;1408033;2710;Centro Local;1;0;0;0,30255666;0,00000003
4316105;RS;Ronda Alta ;10601;300105;0;0;2806;Centro Local;1;0;0;0,33504358;0,00045876
4316204;RS;Rondinha ;5130;176060;0;0;3203;Centro Local;1;0;0;0,32429845;0,00002258
4316303;RS;Roque Gonzales ;6847;772170;0;0;10658;Centro Local;1;0;0;0,30713436;0,00000156
4316402;RS;Rosário do Sul ;39422;921813;0;0;2263;Centro Local;1;0;0;0,37746361;0,00024896
4316428;RS;Sagrada Família ;2609;52447;0;0;1960;Centro Local;1;0;0;0,30047677;0,00000759
4316436;RS;Saldanha Marinho ;2650;138117;16560;0;4848;Centro Local;1;0;0;0,31140477;0,00001046
4316451;RS;Salto do Jacuí ;12449;615036;0;0;4924;Centro de Zona B;2;0;0;0,30762245;0,00014920
4316477;RS;Salvador das Missões ;2733;114762;587046;95211;4134;Centro Local;1;0;0;0,30663046;0,00000109
4316501;RS;Salvador do Sul ;7799;282987;35063794;1730425;3807;Centro de Zona B;2;0;0;0,30274256;0,00000294
4316600;RS;Sananduva ;16270;515992;25792;658582;3178;Centro de Zona B;2;0;0;0,31544640;0,00003055
4316709;RS;Santa Bárbara do Sul ;7994;582261;0;1870679;6697;Centro Local;1;0;0;0,31140477;0,00007526
4316733;RS;Santa Cecília do Sul ;1639;69601;0;0;4106;Centro Local;1;0;0;0,23961096;0,00000000
4316758;RS;Santa Clara do Sul ;6603;230969;0;0;3675;Centro Local;1;0;0;0,24841874;0,00000000
4316808;RS;Santa Cruz do Sul ;130416;8238767;1113326583;98390060;6465;Centro Subregional A;5;0;0;0,38268728;0,00229893
4316907;RS;Santa Maria ;282123;7152149;655976538;16079895;2569;Capital Regional B;7;25;0;0,40593170;0,00711274
4316956;RS;Santa Maria do Herval ;6331;268147;0;55934;4217;Centro Local;1;0;0;0,28779270;0,00000000
4316972;RS;Santa Margarida do Sul ;2562;161092;0;0;6395;Centro Local;1;0;0;0,28991709;0,00000003
4317004;RS;Santana da Boa Vista ;8098;175436;0;0;2085;Centro Local;1;0;0;0,30500844;0,00000457
4317103;RS;Sant'Ana do Livramento ;77027;2575389;19940124;902223;3129;Centro de Zona B;2;0;0;0,37602331;0,00071442
4317202;RS;Santa Rosa ;73254;2810212;138490790;38703366;3863;Centro Subregional A;5;15;0;0,39988195;0,00224549
4317251;RS;Santa Tereza ;1729;42523;0;0;2389;Centro Local;1;0;0;0,28174871;0,00000003
4317301;RS;Santa Vitória do Palmar ;29676;960548;13457889;921208;3071;Centro de Zona B;2;0;0;0,30284405;0,00000000
4317400;RS;Santiago ;49425;1271105;0;0;2509;Centro de Zona A;3;0;0;0,31343974;0,00075674
4317509;RS;Santo Ângelo ;77593;2318885;152911197;1012558;2932;Centro Subregional A;5;16;0;0,40770272;0,00385511
4317558;RS;Santo Antônio do Palma ;2128;76756;0;0;3495;Centro Local;1;0;0;0,25675036;0,00000000
4317608;RS;Santo Antônio da Patrulha ;42894;1266970;5282536;5989184;2993;Centro de Zona B;2;0;0;0,30309809;0,00037299
4317707;RS;Santo Antônio das Missões ;10175;317673;0;0;2875;Centro Local;1;0;0;0,31110091;0,00037369
4317756;RS;Santo Antônio do Planalto ;2019;93150;21676;0;4524;Centro Local;1;0;0;0,29832673;0,00000000
4317806;RS;Santo Augusto ;13885;572660;385851;55125;3995;Centro de Zona B;2;0;0;0,31012187;0,00000210
4317905;RS;Santo Cristo ;14257;501596;281508;0;3403;Centro Local;1;0;0;0,30948438;0,00000026
4317954;RS;Santo Expedito do Sul ;2324;63430;0;0;2570;Centro Local;1;0;0;0,24144690;0,00000002
4318002;RS;São Borja ;60282;1784089;1177906;1798046;2841;Centro de Zona A;3;14;0;0,38480653;0,00045333
4318051;RS;São Domingos do Sul ;3074;64716;18414;6794;2101;Centro Local;1;0;0;0,30552424;0,00004087
4318101;RS;São Francisco de Assis ;18335;445295;0;0;2297;Centro Local;1;0;0;0,30920189;0,00000145
4318200;RS;São Francisco de Paula ;21710;602431;1259467;61327;2779;Centro Local;1;0;0;0,30297949;0,00000104
4318309;RS;São Gabriel ;62105;1708475;22651444;32957029;2714;Centro de Zona A;3;0;0;0,37870319;0,00011185
4318408;RS;São Jerônimo ;24248;590487;993748;8427106;2485;Centro de Zona A;3;0;0;0,30218555;0,00000131
4318424;RS;São João da Urtiga ;4657;120248;0;0;2489;Centro Local;1;0;0;0,30359043;0,00000027
4318432;RS;São João do Polêsine ;2552;74193;37655;0;2804;Centro Local;1;0;0;0,28906667;0,00000044
4318440;RS;São Jorge ;2824;81530;0;1007;2869;Centro Local;1;0;0;0,30309809;0,00000760
4318457;RS;São José das Missões ;2537;51791;0;0;1908;Centro Local;1;0;0;0,29997786;0,00000019
4318465;RS;São José do Herval ;1971;47258;0;0;2190;Centro Local;1;0;0;0,30562761;0,00000137
4318481;RS;São José do Hortêncio ;4804;122892;189628;68580;2705;Centro Local;1;0;0;0,23648501;0,00000000
4318499;RS;São José do Inhacorá ;2073;82105;193758;14548;3724;Centro Local;1;0;0;0,00000000;0,00000000
4318507;RS;São José do Norte ;27568;337815;17402045;12946067;1242;Centro Local;1;0;0;0,30191622;0,00000282
4318606;RS;São José do Ouro ;6933;298759;0;0;4198;Centro Local;1;0;0;0,30382869;0,00031470
4318614;RS;São José do Sul ;2408;80787;0;0;3516;Centro Local;1;0;0;0,28902042;0,00000020
4318622;RS;São José dos Ausentes ;3527;82199;42635;0;2351;Centro Local;1;0;0;0,30319982;0,00004592
4318705;RS;São Leopoldo ;236835;7829272;410282611;334936943;3391;sem classificação;0;0;0;0,40357409;0,00977284
4318804;RS;São Lourenço do Sul ;43582;1108701;1240231;678320;2487;Centro Local;1;0;0;0,30284405;0,00000025
4318903;RS;São Luiz Gonzaga ;33468;1134868;26029348;299911;3237;Centro de Zona A;3;0;0;0,38507993;0,00098780
4319000;RS;São Marcos ;21556;706530;12940924;7927612;3307;Centro Local;1;0;0;0,30708215;0,00000313
4319109;RS;São Martinho ;5426;245783;0;0;4253;Centro Local;1;0;0;0,33539604;0,00039507
4319125;RS;São Martinho da Serra ;3234;167985;0;0;5077;Centro Local;1;0;0;0,28874327;0,00000000
4319158;RS;São Miguel das Missões ;7673;427312;0;0;5511;Centro Local;1;0;0;0,30292868;0,00000480
4319208;RS;São Nicolau ;5265;130470;0;0;2298;Centro Local;1;0;0;0,30678666;0,00000015
4319307;RS;São Paulo das Missões ;5790;145062;0;0;2310;Centro Local;1;0;0;0,30921953;0,00000073
4319356;RS;São Pedro da Serra ;3801;71855;164139;0;1975;Centro Local;1;0;0;0,29551279;0,00000155
4319364;RS;São Pedro das Missões ;2009;51490;0;0;2577;Centro Local;1;0;0;0,29966274;0,00000099
4319372;RS;São Pedro do Butiá ;2947;90610;21461;0;3029;Centro Local;1;0;0;0,30895514;0,00000115
4319406;RS;São Pedro do Sul ;16198;365929;0;0;2183;Centro Local;1;0;0;0,31205020;0,00071603
4319505;RS;São Sebastião do Caí ;25685;631811;70022158;8155522;2531;Centro de Zona B;2;0;0;0,30971429;0,00038972
4319604;RS;São Sepé ;23621;823029;1830;99332;3373;Centro Local;1;0;0;0,31031719;0,00003158
