UF;DESTINO;TIPO;Índice Geral;Infraestrutura;Acesso;Serviço e Equipamento;Atrativos;Marketing;Políticas Públicas;Cooperação Regional;Monitoramento;Economia Local;Capacidade Empresarial;Aspectos Sociais;Aspectos Ambientais
PE;Fernando de Noronha;Não capital;52,1;75,3;39,6;41,5;64,8;59,4;49,3;35,2;27,4;52,7;21,3;72,4;71,7
SC;Florianópolis;Capital;75,9;85,9;80,8;81,1;72,9;58,9;77;64,9;52,3;78,8;92,9;68,4;75,1
CE;Fortaleza;Capital;71,9;74,1;78,3;79,4;62,9;50,4;71,5;62,7;53,2;82,3;89,6;65,3;78,8
PR;Foz do Iguaçu;Não capital;76,3;77,5;73,3;78,5;86,9;88,5;70,6;66,8;80;74,8;82,7;73,3;80,9
GO;Goiânia;Capital;68,5;73;74,8;73,9;47,4;37,3;70,8;60,5;73,1;84;90,4;64;71,9
RS;Gramado;Não capital;65,4;76,1;72,1;73,1;65,3;54,3;72;38,9;26,3;75,4;61,3;68,6;67,3
SP;Ilhabela;Não capital;60,5;74,9;53,7;69;63,1;62,3;70,7;40,3;42,6;52,3;47;64,5;72,9
PE;Ipojuca;Não capital;51,8;58,7;50,2;45,4;64,4;37,5;47,3;31;43,5;75,7;48,7;46;64,5
CE;Jijoca de Jericoacoara;Não capital;45,9;44,3;43,2;45,6;53,3;51,3;43,4;63,2;19,3;34,7;24;64,9;66,4
PB;João Pessoa;Capital;71,4;79,9;68;70,3;61,2;83,1;70,3;29,9;68;75,3;94;64,1;78,1
BA;Lençóis;Não capital;52,9;64,1;54,9;42,5;61,2;42,1;56,8;68,5;47,5;40,7;31,6;49,5;68,1
AP;Macapá;Capital;53,6;58,8;61,6;49,7;53,6;31,1;55,1;54,9;10,3;56,2;66,6;51,7;71,1
AL;Maceió;Capital;65,7;75;70,4;77,1;56,6;48,5;62,7;35;34,3;70,9;83,3;65,5;75,3
AM;Manaus;Capital;67,9;69;78,5;77,1;75,7;50,9;50,2;31,2;27,7;83,4;92,3;65,9;76,6
AL;Maragogi;Não capital;45,5;47,1;33,2;43,7;59,5;40,8;54,5;51,2;14,6;43,6;33,6;54,1;65,4
BA;Maraú;Não capital;41,1;41,8;24,8;32,8;49,3;41,8;60,6;67,9;0;45,7;26,1;46,9;47,6
BA;Mata de São João;Não capital;56;56,5;60,9;43,3;68;56;54,2;55,9;25,2;62,1;33,4;67,5;75,1
TO;Mateiros;Não capital;32,8;31,1;24,9;19;59,5;28,8;31,7;21,8;9;48,4;15,7;38,7;52,3
RN;Natal;Capital;65,7;83,2;76,4;74,1;57,2;44,3;57;55,9;19,7;70,8;90,6;53,5;81,2
CE;Nova Olinda;Não capital;44,4;58;35,3;35,2;55,1;45,2;37,8;72,1;17,4;47,1;17,4;41,3;58,9
MG;Ouro Preto;Não capital;69,3;71,3;56,5;61,2;74,4;62,5;62,3;72,4;78,6;78,5;64,4;76,4;68,3
TO;Palmas;Capital;57,4;72,5;63,4;65,3;47,4;33,7;50,4;37;19,1;62,5;69,2;57,7;82,5
PR;Paranaguá;Não capital;66,7;71,8;61,5;62,1;64,1;46,5;71,9;77,8;74,4;68;61,4;65,8;77,6
RJ;Paraty;Não capital;52,2;52,2;56,4;40,9;68,9;43,7;55,8;36;23,9;56,4;49,4;49,6;52,4
AM;Parintins;Não capital;43,4;49,9;36,7;45,1;66,8;28,7;51,9;13,1;9,8;46,1;43,6;53,9;45,9
