"";"Município";"dom";"int";"cod_mun"
"1474";"cruz alta";0;0;"4306106"
"1475";"cruz das almas";0;0;"2909802"
"1476";"cruz do espírito santo";0;0;"2504900"
"1477";"cruz machado";0;0;"4106803"
"1478";"cruzália";0;0;"3513306"
"1479";"cruzaltense";0;0;"4306130"
"1480";"cruzeiro";0;0;"3513405"
"1481";"cruzeiro da fortaleza";0;0;"3120706"
"1482";"cruzeiro do iguaçu";0;0;"4106571"
"1483";"cruzeiro do oeste";0;0;"4106605"
"1484";"cruzeiro do sul";29;0;"1200203"
"1485";"cruzeiro do sul";29;0;"4306205"
"1486";"cruzeiro do sul";29;0;"4106704"
"1487";"cruzeta";0;0;"2403004"
"1488";"cruzília";0;0;"3120805"
"1489";"cruzmaltina";0;0;"4106852"
"1490";"cubatão";0;0;"3513504"
"1491";"cubati";0;0;"2505006"
"1492";"cuiabá";966;1;"5103403"
"1493";"cuité";0;0;"2505105"
"1494";"cuité de mamanguape";0;0;"2505238"
"1495";"cuitegi";0;0;"2505204"
"1496";"cujubim";0;0;"1100940"
"1497";"cumari";0;0;"5206602"
"1498";"cumaru";0;0;"2604908"
"1499";"cumaru do norte";0;0;"1502764"
"1500";"cumbe";0;0;"2801900"
"1501";"cunha";0;0;"3513603"
"1502";"cunha porã";0;0;"4204707"
"1503";"cunhataí";0;0;"4204756"
"1504";"cuparaque";0;0;"3120839"
"1505";"cupira";0;0;"2605004"
"1506";"curaçá";0;0;"2909901"
"1507";"curimatá";0;0;"2203206"
"1508";"curionópolis";0;0;"1502772"
"1509";"curitiba";2226;42;"4106902"
"1510";"curitibanos";0;0;"4204806"
"1511";"curiúva";0;0;"4107009"
"1512";"currais";0;0;"2203230"
"1513";"currais novos";0;0;"2403103"
"1514";"curral de cima";0;0;"2505279"
"1515";"curral de dentro";0;0;"3120870"
"1516";"curral novo do piauí";0;0;"2203271"
"1517";"curral velho";0;0;"2505303"
"1518";"curralinho";0;0;"1502806"
"1519";"curralinhos";0;0;"2203255"
"1520";"curuá";0;0;"1502855"
"1521";"curuçá";0;0;"1502905"
"1522";"cururupu";0;0;"2103703"
"1523";"curvelândia";0;0;"5103437"
"1524";"curvelo";0;0;"3120904"
"1525";"custódia";0;0;"2605103"
"1526";"cutias";0;0;"1600212"
"1527";"damianópolis";0;0;"5206701"
"1528";"damião";0;0;"2505352"
"1529";"damolândia";0;0;"5206800"
"1530";"darcinópolis";0;0;"1706506"
"1531";"dário meira";0;0;"2910008"
"1532";"datas";0;0;"3121001"
"1533";"david canabarro";0;0;"4306304"
"1534";"davinópolis";0;0;"2103752"
"1535";"davinópolis";0;0;"5206909"
"1536";"delfim moreira";0;0;"3121100"
"1537";"delfinópolis";0;0;"3121209"
"1538";"delmiro gouveia";0;0;"2702405"
"1539";"delta";0;0;"3121258"
"1540";"demerval lobão";0;0;"2203305"
"1541";"denise";0;0;"5103452"
"1542";"deodápolis";0;0;"5003454"
"1543";"deputado irapuan pinheiro";0;0;"2304269"
"1544";"derrubadas";0;0;"4306320"
"1545";"descalvado";0;0;"3513702"
"1546";"descanso";0;0;"4204905"
"1547";"descoberto";0;0;"3121308"
"1548";"desterro";0;0;"2505402"
"1549";"desterro de entre rios";0;0;"3121407"
"1550";"desterro do melo";0;0;"3121506"
"1551";"dezesseis de novembro";0;0;"4306353"
"1552";"diadema";0;0;"3513801"
"1553";"diamante";0;0;"2505600"
"1554";"diamante d'oeste";0;0;"4107157"
"1555";"diamante do norte";0;0;"4107108"
"1556";"diamante do sul";0;0;"4107124"
"1557";"diamantina";0;0;"3121605"
"1558";"diamantino";0;0;"5103502"
"1559";"dianópolis";0;0;"1707009"
"1560";"dias d'ávila";0;0;"2910057"
"1561";"dilermando de aguiar";0;0;"4306379"
"1562";"diogo de vasconcelos";0;0;"3121704"
"1563";"dionísio";0;0;"3121803"
"1564";"dionísio cerqueira";0;0;"4205001"
"1565";"diorama";0;0;"5207105"
"1566";"dirce reis";0;0;"3513850"
"1567";"dirceu arcoverde";0;0;"2203354"
"1568";"divina pastora";0;0;"2802007"
"1569";"divinésia";0;0;"3121902"
"1570";"divino";0;0;"3122009"
"1571";"divino das laranjeiras";0;0;"3122108"
"1572";"divino de são lourenço";0;0;"3201803"
"1573";"divinolândia";0;0;"3513900"
"1574";"divinolândia de minas";0;0;"3122207"
"1575";"divinópolis";0;0;"3122306"
"1576";"divinópolis de goiás";0;0;"5208301"
"1577";"divinópolis do tocantins";0;0;"1707108"
"1578";"divisa alegre";0;0;"3122355"
"1579";"divisa nova";0;0;"3122405"
"1580";"divisópolis";0;0;"3122454"
"1581";"dobrada";0;0;"3514007"
"1582";"dois córregos";0;0;"3514106"
"1583";"dois irmãos";0;0;"4306403"
"1584";"dois irmãos das missões";0;0;"4306429"
"1585";"dois irmãos do buriti";0;0;"5003488"
"1586";"dois irmãos do tocantins";0;0;"1707207"
"1587";"dois lajeados";0;0;"4306452"
"1588";"dois riachos";0;0;"2702504"
"1589";"dois vizinhos";0;0;"4107207"
"1590";"dolcinópolis";0;0;"3514205"
"1591";"dom aquino";0;0;"5103601"
"1592";"dom basílio";0;0;"2910107"
"1593";"dom bosco";0;0;"3122470"
"1594";"dom cavati";0;0;"3122504"
"1595";"dom eliseu";0;0;"1502939"
"1596";"dom expedito lopes";0;0;"2203404"
"1597";"dom feliciano";0;0;"4306502"
"1598";"dom inocêncio";0;0;"2203453"
"1599";"dom joaquim";0;0;"3122603"
"1600";"dom macedo costa";0;0;"2910206"
"1601";"dom pedrito";0;0;"4306601"
"1602";"dom pedro";0;0;"2103802"
"1603";"dom pedro de alcântara";0;0;"4306551"
"1604";"dom silvério";0;0;"3122702"
"1605";"dom viçoso";0;0;"3122801"
"1606";"domingos martins";0;0;"3201902"
"1607";"domingos mourão";0;0;"2203420"
"1608";"dona emma";0;0;"4205100"
"1609";"dona eusébia";0;0;"3122900"
"1610";"dona francisca";0;0;"4306700"
"1611";"dona inês";0;0;"2505709"
"1612";"dores de campos";0;0;"3123007"
"1613";"dores de guanhães";0;0;"3123106"
"1614";"dores do indaiá";0;0;"3123205"
"1615";"dores do rio preto";0;0;"3202009"
"1616";"dores do turvo";0;0;"3123304"
"1617";"doresópolis";0;0;"3123403"
"1618";"dormentes";0;0;"2605152"
"1619";"douradina";0;0;"4107256"
"1620";"douradina";0;0;"5003504"
"1621";"dourado";0;0;"3514304"
"1622";"douradoquara";0;0;"3123502"
"1623";"dourados";82;0;"5003702"
"1624";"doutor camargo";0;0;"4107306"
"1625";"doutor maurício cardoso";0;0;"4306734"
"1626";"doutor pedrinho";0;0;"4205159"
"1627";"doutor ricardo";0;0;"4306759"
"1628";"doutor severiano";0;0;"2403202"
"1629";"doutor ulysses";0;0;"4128633"
"1630";"doverlândia";0;0;"5207253"
"1631";"dracena";0;0;"3514403"
"1632";"duartina";0;0;"3514502"
"1633";"duas barras";0;0;"3301603"
"1634";"duas estradas";0;0;"2505808"
"1635";"dueré";0;0;"1707306"
"1636";"dumont";0;0;"3514601"
"1637";"duque bacelar";0;0;"2103901"
"1638";"duque de caxias";0;0;"3301702"
"1639";"durandé";0;0;"3123528"
"1640";"echaporã";0;0;"3514700"
"1641";"ecoporanga";0;0;"3202108"
"1642";"edealina";0;0;"5207352"
"1643";"edéia";0;0;"5207402"
"1644";"eirunepé";9;0;"1301407"
"1645";"eldorado";0;0;"3514809"
"1646";"eldorado";0;0;"5003751"
"1647";"eldorado do carajás";0;0;"1502954"
"1648";"eldorado do sul";0;0;"4306767"
"1649";"elesbão veloso";0;0;"2203503"
"1650";"elias fausto";0;0;"3514908"
"1651";"eliseu martins";0;0;"2203602"
"1652";"elisiário";0;0;"3514924"
"1653";"elísio medrado";0;0;"2910305"
"1654";"elói mendes";0;0;"3123601"
"1655";"emas";0;0;"2505907"
"1656";"embaúba";0;0;"3514957"
"1657";"embu-guaçu";0;0;"3515103"
"1658";"embu das artes";0;0;"3515004"
"1659";"emilianópolis";0;0;"3515129"
"1660";"encantado";0;0;"4306809"
"1661";"encanto";0;0;"2403301"
"1662";"encruzilhada";0;0;"2910404"
"1663";"encruzilhada do sul";0;0;"4306908"
"1664";"enéas marques";0;0;"4107405"
"1665";"engenheiro beltrão";0;0;"4107504"
"1666";"engenheiro caldas";0;0;"3123700"
"1667";"engenheiro coelho";0;0;"3515152"
"1668";"engenheiro navarro";0;0;"3123809"
"1669";"engenheiro paulo de frontin";0;0;"3301801"
"1670";"engenho velho";0;0;"4306924"
"1671";"entre-ijuís";0;0;"4306932"
"1672";"entre folhas";0;0;"3123858"
"1673";"entre rios";0;0;"2910503"
"1674";"entre rios";0;0;"4205175"
"1675";"entre rios de minas";0;0;"3123908"
"1676";"entre rios do oeste";0;0;"4107538"
"1677";"entre rios do sul";0;0;"4306957"
"1678";"envira";0;0;"1301506"
"1679";"epitaciolândia";0;0;"1200252"
"1680";"equador";0;0;"2403400"
"1681";"erebango";0;0;"4306973"
"1682";"erechim";0;0;"4307005"
"1683";"ererê";0;0;"2304277"
"1684";"érico cardoso";0;0;"2900504"
"1685";"ermo";0;0;"4205191"
"1686";"ernestina";0;0;"4307054"
"1687";"erval grande";0;0;"4307203"
"1688";"erval seco";0;0;"4307302"
"1689";"erval velho";0;0;"4205209"
"1690";"ervália";0;0;"3124005"
"1691";"escada";0;0;"2605202"
"1692";"esmeralda";0;0;"4307401"
"1693";"esmeraldas";0;0;"3124104"
"1694";"espera feliz";0;0;"3124203"
"1695";"esperança";0;0;"2506004"
"1696";"esperança do sul";0;0;"4307450"
"1697";"esperança nova";0;0;"4107520"
"1698";"esperantina";0;0;"1707405"
"1699";"esperantina";0;0;"2203701"
"1700";"esperantinópolis";0;0;"2104008"
"1701";"espigão alto do iguaçu";0;0;"4107546"
"1702";"espigão d'oeste";0;0;"1100098"
"1703";"espinosa";0;0;"3124302"
"1704";"espírito santo";0;0;"2403509"
"1705";"espírito santo do dourado";0;0;"3124401"
"1706";"espírito santo do pinhal";0;0;"3515186"
"1707";"espírito santo do turvo";0;0;"3515194"
"1708";"esplanada";0;0;"2910602"
"1709";"espumoso";0;0;"4307500"
"1710";"estação";0;0;"4307559"
"1711";"estância";0;0;"2802106"
"1712";"estância velha";0;0;"4307609"
"1713";"esteio";0;0;"4307708"
"1714";"estiva";0;0;"3124500"
"1715";"estiva gerbi";0;0;"3557303"
"1716";"estreito";0;0;"2104057"
"1717";"estrela";0;0;"4307807"
"1718";"estrela d'oeste";0;0;"3515202"
"1719";"estrela dalva";0;0;"3124609"
"1720";"estrela de alagoas";0;0;"2702553"
"1721";"estrela do indaiá";0;0;"3124708"
"1722";"estrela do norte";0;0;"3515301"
"1723";"estrela do norte";0;0;"5207501"
"1724";"estrela do sul";0;0;"3124807"
"1725";"estrela velha";0;0;"4307815"
"1726";"euclides da cunha";0;0;"2910701"
"1727";"euclides da cunha paulista";0;0;"3515350"
"1728";"eugênio de castro";0;0;"4307831"
"1729";"eugenópolis";0;0;"3124906"
"1730";"eunápolis";0;0;"2910727"
"1731";"eusébio";0;0;"2304285"
"1732";"ewbank da câmara";0;0;"3125002"
"1733";"extrema";0;0;"3125101"
"1734";"extremoz";0;0;"2403608"
"1735";"exu";0;0;"2605301"
"1736";"fagundes";0;0;"2506103"
"1737";"fagundes varela";0;0;"4307864"
"1738";"faina";0;0;"5207535"
"1739";"fama";0;0;"3125200"
"1740";"faria lemos";0;0;"3125309"
"1741";"farias brito";0;0;"2304301"
"1742";"faro";0;0;"1503002"
"1743";"farol";0;0;"4107553"
"1744";"farroupilha";0;0;"4307906"
"1745";"fartura";0;0;"3515400"
"1746";"fartura do piauí";0;0;"2203750"
"1747";"fátima";0;0;"1707553"
"1748";"fátima";0;0;"2910750"
"1749";"fátima do sul";0;0;"5003801"
"1750";"faxinal";0;0;"4107603"
"1751";"faxinal do soturno";0;0;"4308003"
"1752";"faxinal dos guedes";0;0;"4205308"
"1753";"faxinalzinho";0;0;"4308052"
"1754";"fazenda nova";0;0;"5207600"
"1755";"fazenda rio grande";0;0;"4107652"
"1756";"fazenda vilanova";0;0;"4308078"
"1757";"feijó";0;0;"1200302"
"1758";"feira da mata";0;0;"2910776"
"1759";"feira de santana";5;0;"2910800"
"1760";"feira grande";0;0;"2702603"
"1761";"feira nova";0;0;"2605400"
"1762";"feira nova";0;0;"2802205"
"1763";"feira nova do maranhão";0;0;"2104073"
"1764";"felício dos santos";0;0;"3125408"
"1765";"felipe guerra";0;0;"2403707"
"1766";"felisburgo";0;0;"3125606"
"1767";"felixlândia";0;0;"3125705"
"1768";"feliz";0;0;"4308102"
"1769";"feliz deserto";0;0;"2702702"
"1770";"feliz natal";0;0;"5103700"
"1771";"fênix";0;0;"4107702"
"1772";"fernandes pinheiro";0;0;"4107736"
"1773";"fernandes tourinho";0;0;"3125804"
"1774";"fernando de noronha";144;0;"2605459"
"1775";"fernando falcão";0;0;"2104081"
"1776";"fernando pedroza";0;0;"2403756"
"1777";"fernando prestes";0;0;"3515608"
"1778";"fernandópolis";0;0;"3515509"
"1779";"fernão";0;0;"3515657"
"1780";"ferraz de vasconcelos";0;0;"3515707"
"1781";"ferreira gomes";0;0;"1600238"
"1782";"ferreiros";0;0;"2605509"
