Município;pass_int
BRASÍLIA;236
BRASÍLIA;3969
BRASÍLIA;4807
BRASÍLIA;275
BRASÍLIA;169
BRASÍLIA;4570
BRASÍLIA;4503
BRASÍLIA;4400
BRASÍLIA;171
BRASÍLIA;3111
BRASÍLIA;2638
BRASÍLIA;2217
BRASÍLIA;2781
BRASÍLIA;2502
BRASÍLIA;3930
BRASÍLIA;413
BRASÍLIA;529
BRASÍLIA;4310
BRASÍLIA;4233
BRASÍLIA;3678
BRASÍLIA;3710
BRASÍLIA;85
BRASÍLIA;4063
BRASÍLIA;3882
BRASÍLIA;91
BRASÍLIA;3937
BRASÍLIA;4110
BRASÍLIA;4994
BRASÍLIA;4711
BRASÍLIA;3938
BRASÍLIA;4211
BRASÍLIA;4640
BRASÍLIA;2796
BRASÍLIA;4202
BRASÍLIA;3248
BRASÍLIA;110
BRASÍLIA;3876
BRASÍLIA;99
BRASÍLIA;2750
BRASÍLIA;4316
BRASÍLIA;2075
BRASÍLIA;4020
BRASÍLIA;2066
BRASÍLIA;4373
BRASÍLIA;0
BRASÍLIA;2338
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;170
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;7
BRASÍLIA;26
BRASÍLIA;2404
BRASÍLIA;1775
BRASÍLIA;1043
BRASÍLIA;1476
BRASÍLIA;1789
BRASÍLIA;1708
BRASÍLIA;0
BRASÍLIA;4063
BRASÍLIA;3343
BRASÍLIA;3653
BRASÍLIA;3593
BRASÍLIA;4322
BRASÍLIA;3573
BRASÍLIA;4473
BRASÍLIA;4020
BRASÍLIA;3348
BRASÍLIA;4138
BRASÍLIA;4282
BRASÍLIA;3841
BRASÍLIA;593
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;1168
BRASÍLIA;1412
BRASÍLIA;111
BRASÍLIA;5231
BRASÍLIA;3578
BRASÍLIA;4705
BRASÍLIA;5090
BRASÍLIA;5710
BRASÍLIA;5769
BRASÍLIA;7302
BRASÍLIA;5860
BRASÍLIA;5169
BRASÍLIA;6376
BRASÍLIA;5578
BRASÍLIA;6190
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;0
BRASÍLIA;976
BRASÍLIA;940
BRASÍLIA;1100
BRASÍLIA;819
BRASÍLIA;991
BRASÍLIA;0
BRASÍLIA;0
CABO FRIO;994
CABO FRIO;754
CABO FRIO;581
CABO FRIO;239
CABO FRIO;228
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;0
CABO FRIO;174
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;3373
CAMPINAS;3491
CAMPINAS;4396
CAMPINAS;4259
CAMPINAS;199
CAMPINAS;4574
CAMPINAS;239
CAMPINAS;4606
CAMPINAS;796
CAMPINAS;159
CAMPINAS;7613
CAMPINAS;156
CAMPINAS;1894
CAMPINAS;8124
CAMPINAS;2163
CAMPINAS;7537
CAMPINAS;1168
CAMPINAS;6727
CAMPINAS;621
CAMPINAS;6940
CAMPINAS;738
CAMPINAS;159
CAMPINAS;8750
CAMPINAS;506
CAMPINAS;0
CAMPINAS;0
CAMPINAS;117
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;46
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;10725
CAMPINAS;10317
CAMPINAS;9554
CAMPINAS;7522
CAMPINAS;0
CAMPINAS;234
CAMPINAS;8612
CAMPINAS;7289
CAMPINAS;206
CAMPINAS;6739
CAMPINAS;6767
CAMPINAS;0
CAMPINAS;246
CAMPINAS;10523
CAMPINAS;269
CAMPINAS;8463
CAMPINAS;0
CAMPINAS;8461
CAMPINAS;0
CAMPINAS;7616
CAMPINAS;10456
CAMPINAS;267
CAMPINAS;8944
CAMPINAS;213
CAMPINAS;8391
CAMPINAS;8198
CAMPINAS;205
CAMPINAS;7026
CAMPINAS;1120
CAMPINAS;6825
CAMPINAS;0
CAMPINAS;7660
CAMPINAS;186
CAMPINAS;8068
CAMPINAS;0
CAMPINAS;7230
CAMPINAS;8290
CAMPINAS;0
CAMPINAS;204
CAMPINAS;13447
CAMPINAS;10586
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;3118
CAMPINAS;3141
CAMPINAS;2877
CAMPINAS;4189
CAMPINAS;3607
CAMPINAS;3247
CAMPINAS;157
CAMPINAS;4466
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
